ID 			Name 	 Parts 	 In Sets 	 Wanted 	 For Sale 	 Color Timeline 
 ID 			Name 	 Parts 	 In Sets 	 Wanted 	 For Sale 	 Color Timeline 
228 			Satin White 	 3 	 3 	 45 	 4 	 2020 - 2020 
229 			Satin Trans-Black 	 1 	 1 	 12 	 2 	 2020 - 2020 
223 			Satin Trans-Light Blue 	 5 	 14 	 32 	 9 	 2020 - 2020 
230 			Satin Trans-Purple 	 1 	 5 	 11 	 2 	 2020 - 2020 
224 			Satin Trans-Dark Pink 	 4 	 9 	 28 	 4 	 2020 - 2020 
Metallic Colors
 ID 			Name 	 Parts 	 In Sets 	 Wanted 	 For Sale 	 Color Timeline 
67 			Metallic Silver 	 177 	 611 	 1759 	 255 	 1957 - 2020 
70 			Metallic Green 	 26 	 7 	 276 	 37 	 2001 - 2018 
65 			Metallic Gold 	 81 	 213 	 1044 	 160 	 1997 - 2020 
Milky Colors
 ID 			Name 	 Parts 	 In Sets 	 Wanted 	 For Sale 	 Color Timeline 
60 			Milky White 	 26 	 140 	 441 	 62 	 1963 - 2008 
159 			Glow In Dark White 	 29 	 50 	 702 	 48 	 2012 - 2020 
46 			Glow In Dark Opaque 	 41 	 87 	 557 	 107 	 1990 - 2011 
118 			Glow In Dark Trans 	 16 	 22 	 270 	 19 	 2005 - 2011 
Glitter Colors
 ID 			Name 	 Parts 	 In Sets 	 Wanted 	 For Sale 	 Color Timeline 
101 			Glitter Trans-Clear 	 16 	 24 	 95 	 19 	 1999 - 2020 
222 			Glitter Trans-Orange 	 1 	 1 	 27 	 1 	 2020 - 2020 
163 			Glitter Trans-Neon Green 	 1 	 8 	 68 	 3 	 2015 - 2018 
162 			Glitter Trans-Light Blue 	 16 	 24 	 107 	 20 	 2015 - 2020 
102 			Glitter Trans-Purple 	 10 	 42 	 112 	 13 	 2000 - 2020 
100 			Glitter Trans-Dark Pink 	 12 	 34 	 99 	 15 	 1999 - 2020 
Speckle Colors
 ID 			Name 	 Parts 	 In Sets 	 Wanted 	 For Sale 	 Color Timeline 
111 			Speckle Black-Silver 	 15 	 46 	 124 	 21 	 2005 - 2013 
151 			Speckle Black-Gold 	 2 	 4 	 149 	 5 	 2010 - 2011 
116 			Speckle Black-Copper 	 5 	 3 	 118 	 8 	 2006 - 2006 
117 			Speckle DBGray-Silver 	 5 	 7 	 160 	 8 	 2006 - 2006 
